Pertanyaan;Coarse;Fine
berapa panjang tol cipali;NUM;distance
berapa panjang kapal nabi nuh;NUM;distance
berapa panjang gigi buaya;NUM;distance
berapa panjang ekor dinosaurus;NUM;distance
seberapa panjang ekor anjing;NUM;distance
seberapa panjang ekor yang dimiliki harimau;NUM;distance
berapa tinggi gunung merapi;NUM;distance
berapa tinggi menara pertamina;NUM;distance
berapa tinggi monas;NUM;distance
seberapa tinggi gunung kalimanjaro;NUM;distance
berapa tinggi badan minimum untuk mendaftar menjadi polisi;NUM;distance
berapa lebar danau toba;NUM;distance
berapa lebar danau kaspia;NUM;distance
berapa lebar perahun nabi nuh;NUM;distance
seberapa lebar danu victoria;NUM;distance
seberapa lebar danu tanganyika;NUM;distance
berapa dalam samudra pasifik;NUM;distance
seberapa dalam kapal selam dapat menyelam;NUM;distance
pada kedalaman berapa kapal titanic tenggelam di dasar laut;NUM;distance
seberapa dalam perut bumi ini;NUM;distance
seberapa lebar alam semesta ini;NUM;distance
berapa jauh mata manusia dapat melihat;NUM;distance
berapa jauh ayam dapat terbang;NUM;distance
seberapa jauh burung pipit terbang;NUM;distance
seberapa jauh manusia dapat bepergian di luar angkasa;NUM;distance
seberapa tinggi menara visa itu;NUM;distance
berapa tinggi yang dimiliki jerapa;NUM;distance
berapa jarak antara bandung dan jakarta;NUM;distance
berapa gaji rata rata pekerja tambang di papua;NUM;money
berapa gaji ump pekerja di banten;NUM;money
berapa gaji yang diterima seorang penyapu jalan dalam sebulan;NUM;money
berapa gaji presiden republik indonesia;NUM;money
berapa besaran gaji seorang menteri di negara ini;NUM;money
berapa besaran gaji seorang gubernur;NUM;money
berapa upah yang diterima anak buah kapal pesiar;NUM;money
berapa upah yang didapatkan seorang penulis artikel ;NUM;money
berapa upah seorang pengrajin batik;NUM;money
berapa besar pendapatan seorang pemilik konveksi;NUM;money
berapa pendapatan penjual sayur di pasar;NUM;money
berapa besar omzet indomaret dalam satu hari;NUM;money
berapa omzet maskapai lion air dalam sebulan;NUM;money
berapa pendapatan rata rata nelayan dalam 1 hari;NUM;money
berapa nilai tukar yen ke rupiah;NUM;money
berapa nilai tukar dollar ke euro;NUM;money
berapa kira kira harga motor jupiter terbaru;NUM;money
berapa jumlah utang luar negeri yang dimiliki indonesia;NUM;money
berapa nilai satu gram emas tahun 2000;NUM;money
berapa nilai satu dirham hari ini dalam rupiah;NUM;money
berapa pajak bangunan yang harus dibayar;NUM;money
berapa pajak penghasilan untuk karyawan bergaji sepuluh juta;NUM;money
berapa besar pajak ekspor impor di cina;NUM;money
berapa uang yang dicuri perampok bank di slipi;NUM;money
berapa uang yang andi simpan di bagasi mobilnya;NUM;money
berapa uang yang hilang saat rumah norman dirampok oleh pencuri;NUM;money
berapa nilai kontrak perusahaan freeport dengan pemerintah indonesia;NUM;money
berapa harga sewa kontrakan tipe 35 di jogja;NUM;money
berapa biaya sewa motor bebek dalam sehari;NUM;money
berapa biaya sewa tukang untuk memperbaiki rumah;NUM;money
berapa tarif tiket pesawat dari indonesia ke makkah;NUM;money
berapa bayaran seorang kernet bus kopaja;NUM;money
berapa tarif naik angkot sekali jalan di makassar;NUM;money
berapa denda yang harus dibayar saat terlambat membayar pajak motor;NUM;money
berapa tarif kapal laut 2020;NUM;money
berapa tarif naik very dari pulau ke pulai;NUM;money
berapa biaya mengiklankan produk di tokopedia;NUM;money
berapa biaya kuliah rata rata mahasiswa s2;NUM;money
berapa uang yang harus dikeluarkan untuk memiliki mobil mercedes;NUM;money
berapa tarif parkir roda dua sesuai aturan pemerintah di kota semarang;NUM;money
berapa denda jika meludah di sembarang tempat di singapura;NUM;money
berapa pajak mobil mewah;NUM;money
berapa pendapatan ojek online dalam sehari;NUM;money
berapa pendapatan youtuber dalam sebulan;NUM;money
berapa pendapatan petani dalam sekali panen;NUM;money
berapa pendapatan pedagan sayur di pasar;NUM;money
berapa pendapatan seorang fotografer dalam satu project;NUM;money
berapa pendapatan seorang pilot pesawat;NUM;money
Berapa gaji awal seorang radiografer;NUM;money
Berapa gaji awal untuk pengacara;NUM;money
Berapa gaji anggota dpr;NUM;money
Berapa gaji rata-rata manajer restoran di Amerika Serikat;NUM;money
Berapa gaji rata-rata seorang ahli paleontologi;NUM;money
berapa gaji rata-rata seorang menteri;NUM;money
berapa gaji rata-rata karyawan penjaga toko minimarket;NUM;money
berapa gaji rata-rata seorang pengantar barang bangunan;NUM;money
berapa gaji rata-rata seorang ceo perusahaan startup unicorn;NUM;money
berapa gaji rata-rata manajer restoran;NUM;money
berapa upah presenter acara tv;NUM;money
berapa upah tukang cukur rambut;NUM;money
berapa upah pegawai bumn;NUM;money
berapa harga terbaru mobil toyota yaris;NUM;money
berapa harga kurma 1 kilogram;NUM;money
berapa harga bawang merah 1 kilogram;NUM;money
berapa harga gula pasir dalam 1 liter;NUM;money
berapa harga hp samsung terbaru;NUM;money
berapa harga toyota calya di bandung;NUM;money
berapa harga satu kilogram tomat hari ini;NUM;money
berapa harga gula sekilo;NUM;money
berapa harga laptop acer nitro 5 model terbaru;NUM;money
berapa harga jam tangan casio;NUM;money
berapa uang yang ;NUM;money
berapa uang yang ;NUM;money
berapa gaji presenter berita;NUM;money
berapa jumlah utang luar negeri kanada;NUM;money
berapa jumlah utang malaysia di luar negeri;NUM;money
berapa jumlah uang untuk membeli satu gram emas;NUM;money
berapa jumlah uang yang harus dikeluarkan untuk menginap di hotel bintang 5;NUM;money
berapa jumlah uang untuk makan di restoran mewah;NUM;money
berapa jumlah uang yang harus dibawa saat bepergian ke luar negeri;NUM;money
berapa jumlah uang yang dapat disimpan di bank;NUM;money
berapa jumlah uang yang diberikan kakek itu kepada cucunya;NUM;money
berapa jumlah uang yang kamu dapatkan hari ini;NUM;money
berapa tarif per kilometer naik ojek online;NUM;money
pada bab berapa dalam al quran diceritakan tentang dosa riba;NUM;order
peringkat berapa pertumbuhan ekonomi indonesia di asia;NUM;order
peringkat berapa chelsea pada liga inggris tahun 2008;NUM;order
juara berapa marc marques pada moto gp seri sepang tahun 2017;NUM;order
ada di urutan keberapa huruf syin dalam huruf hijaiyah;NUM;order
ada pada urutan berapa huruf M dalam abjad;NUM;order
ada di posisi berapa schumacer dalam balapan formula 1 tahun 2007;NUM;order
ada di posisi berapa sma 6 dalam porda kabupaten sleman 2010;NUM;order
pada bab keberapa dikisahkan dalam al quran tentang maryam;NUM;order
peringkat berapa jumlah populasi penduduk uruguay di dunia;NUM;order
peringkat berapa luas wilayah negara jepang di dunia;NUM;order
Berapa denyut jantung istirahat yang normal pada orang dewasa sehat;NUM;numother
berapa IQ Einstein;NUM;numother
Berapa lintang dan bujur El Paso;NUM;numother
Berapa nilai sempurna dalam latihan senam;NUM;numother
Berapa reaktivitas kimia helium;NUM;numother
Berapa reaktivitas kimia neon;NUM;numother
Berapa statistik pengangguran untuk tahun 1965 dan 1990;NUM;numother
Berapa statistik untuk pengemudi yang mabuk di Maryland;NUM;numother
Berapa frekuensi VHF;NUM;numother
Berapa tingkat rata-rata pekerja Amerika per jam;NUM;numother
Seberapa keras petir;NUM;numother
Seberapa sering kembar empat dilahirkan;NUM;numother
berapa frekuensi fm;NUM;numother
berapa frekuensi am;NUM;numother
berapa denyut jantung manusia sehat;NUM;numother
berapa tensi darah normal orang dewasa;NUM;numother
berapa persen zakat mall yang harus dikeluarkan;NUM;percent
berapa persen pajak penghasilan yang harus dibayar;NUM;percent
berapa persenkah 30 dari 100;NUM;percent
berapa persentase jumlah pengusaha muda di indonesia;NUM;percent
berapa persentase anak di brunei yang kekurangan gizi;NUM;percent
berapa persentase produk lokal indonesia yang diekspor ke luar negeri;NUM;percent
berapa tingkat pengangguran di inggris saat ini;NUM;percent
berapa tingkat kemiskinan di india tahun 2005;NUM;percent
berapa tingkat penduduk kurang mampu di surabaya;NUM;percent
berapa tingkat target pertumbuhan ekonomi di indonesia 2020;NUM;percent
berapa persentase air dalam tubuh kita;NUM;percent
berapa besar peluang melahirkan anak kembar;NUM;percent
berapa persen orang bandung yang memiliki rumah ;NUM;percent
berapa persen penduduk jakarta yang mengontrak;NUM;percent
berapa taraf kecerdasan anak norwegia saat ini;NUM;percent
berapa persen air tawar yang ada di bumi;NUM;percent
berapa persentase jumlah air laut di bumi;NUM;percent
berapa persentase pengguna gadget di bawah usia 15 tahun;NUM;percent
berapa besar peluang untuk diterima diperguruan tinggi ternama;NUM;percent
seberapa besar peluang lulus jadi anggota brimob;NUM;percent
seberapa besar kesempatan untuk diterima jadi pegawai negeri;NUM;percent
berapa persen penduduk muslim di dunia saat ini;NUM;percent
berapa lama ayam mengerami telurnya;NUM;period
berapa jam berpuasa di indonesia;NUM;period
berapa lama masa studi yang harus ditempuh pada studi doktor;NUM;period
berapa lama karabohidrat dalam nasi dapat bertahan di tubuh;NUM;period
berapa lama perjalanan dari bumi ke planet mars;NUM;period
berapa lama waktu yang ditempuh untuk mencapai puncak everest;NUM;period
berapa lama kehamilan manusia;NUM;period
berapa lama harapan hidup manusia di singapura;NUM;period
berapa lama waktu bangkai hewan habis terurai;NUM;period
Berapa lama seekor anjing tidur;NUM;period
Berapa lama seekor lalat hidup;NUM;period
Berapa lama waktu yang dibutuhkan bulan untuk mengelilingi Bumi;NUM;period
Berapa lama waktu yang dibutuhkan sinar matahari untuk mencapai Bumi;NUM;period
berapa lama manusia mengalami cegukan;NUM;period
berapa lama waktu kurungan terpidana korupsi;NUM;period
berapa lama rata rata manusia hidup;NUM;period
berapa umur bumi ini;NUM;period
berapa umur rata rata manusia;NUM;period
berapa umur rata rata dinosaurus;NUM;period
berapa umur rata rata kucing;NUM;period
berapa umur rata rata anjing;NUM;period
berapa umur manusia tertua saat ini;NUM;period
berapa usia rata rata manusia;NUM;period
berapa usia rata rata laki laki;NUM;period
berapa usia rata rata perempuan;NUM;period
berapa durasi rata rata film;NUM;period
berapa durasi pemutaran film itu;NUM;period
berapa harapan hidup rata rata pria di irlandia;NUM;period
berapa harapan hidup perembuan di italia;NUM;period
berapa lama periode kehamilah manusia;NUM;period
berapa lama periode studi di perguruan tinggi;NUM;period
berapa periode seorang presiden dapat menjabat;NUM;period
berapa periode maksimal kepala daerah memimpin;NUM;period
berapa lama kepiting hidup;NUM;period
berapa lama terpidana korupsi dipenjara;NUM;period
berapa kecepatan mobil formula one;NUM;speed
berapa cepat ceetah berlari;NUM;speed
berapa kecepatan tertinggi motor di motogp;NUM;speed
berapa km per jam kecepatan kapal laut;NUM;speed
seberapa cepat cahaya itu;NUM;speed
seberapa cepat laju motor pembalap moto gp;NUM;speed
seberapa kencang pergerakan mobil truck di medan terjal;NUM;speed
seberapa kencang angin tornado;NUM;speed
seberapa kencang badai itu;NUM;speed
seberapa cepat kuda dapat berlari;NUM;speed
seberapa cepat ular dapat melumpuhkan mangsanya;NUM;speed
berapa kecepatan yang dimiliki semut untuk berjalan;NUM;speed
berapa kecepatan maksimal pesawat batik air;NUM;speed
berapa kecepatan tertinggi processor core i5;NUM;speed
berapa cepat anak bayi dapat berbicara;NUM;speed
berapa kecepatan yang dimiliki kapal very;NUM;speed
seberapa kencang peluru dari senapan tipe 45;NUM;speed
berapa kecepatan maksimal mobil toyota land cruiser;NUM;speed
seberapa cepat penjahit dapat menyelesaikan satu baju;NUM;speed
berapa kecepatan minimum di tol jagorawi;NUM;speed
berapa kecepatan maksimum di jalan lintas provinsi jawa barat;NUM;speed
berapa derajat suhu di jakarta hari ini;NUM;temperature
berapa suhu normal tubuh;NUM;temperature
berapa suhu tubuh saat demam;NUM;temperature
berapa besar suhu yang ada dalam lemari es;NUM;temperature
berapa suhu dingin di pulau antartika;NUM;temperature
berapa suhu yang membuat air mendidih;NUM;temperature
berapa suhu udara hari ini;NUM;temperature
berapa suhu hari ini;NUM;temperature
berapa suhu untuk memasak;NUM;temperature
seberapa panas lava itu;NUM;temperature
seberapa panas di dalam gunung berapi aktif;NUM;temperature
berapa farenhait dalam 1 celcius;NUM;temperature
berapa seharusnya suhu oven saat memasak kue bolu;NUM;temperature
berapa suhu oven untuk memasak brownies;NUM;temperature
berapa suhu tubuh anda;NUM;temperature
berapa ukuran sepatu anda;NUM;size
berapa ukuran baju pria;NUM;size
berapa ukuran baju anak kecil itu;NUM;size
berapa ukuran baju dia;NUM;size
seberapa besar australia;NUM;size
seberapa besar kebun binatang ragunan;NUM;size
seberapa besar prancis itu;NUM;size
seberapa besar rumah bill gates;NUM;size
seberapa besar kolam renang di hotel itu;NUM;size
seberapa besar ukuran alam semesta;NUM;size
seberapa besar planet mars;NUM;size
berapa besar matahari;NUM;size
berapa besar bumi;NUM;size
berapa besar bulan itu;NUM;size
berapa ukuran lapangan sepak bola;NUM;size
berapa ukuran lapangan bulu tangkis;NUM;size
berapa ukuran sampul buku tersebut;NUM;size
berapa berat bumi ini;NUM;weight
berapa berat kapan nabi nuh;NUM;weight
berapa berat bola bowling itu;NUM;weight
berapa berat badan kamu;NUM;weight
berapa berat baju besi rasulullah;NUM;weight
berapa berat rata rata pria;NUM;weight
berapa berat rata rata wanita;NUM;weight
berapa berat maksimal paket yang dapat dikirim di jne;NUM;weight
berapa berat maksimal logistik yang dapat dikirim;NUM;weight
seberapa berat bumi itu;NUM;weight
seberapa berat 1 ton itu;NUM;weight
berapa berat badan ideal pria umur 35 ;NUM;weight
berapa kilogram emas yang dapat dibeli di antam;NUM;weight
seberapa berat air galon itu;NUM;weight
berapa berat tas yang dapat dijinjing anak sekolah;NUM;weight
berapa kira kira berat mobil truk itu;NUM;weight
berapa kira kira berat jam tangan itu;NUM;weight
berapa kira kira berat paket yang akan dikirim itu;NUM;weight
